HHID,PERID,AGE,MODE,ARR_HR,XCORD,YCORD
1129328,1,88,6.000,3,-117.009,32.992
1129328,1,88,5.000,9,-117.062,32.975
1129328,1,88,5.000,9,-117.009,32.992
1129328,1,88,5.000,10,-117.243,32.802
1129328,1,88,5.000,12,-117.040,32.957
1129328,1,88,5.000,13,-117.009,32.992
1135294,1,67,6.000,3,-117.078,32.782
1135294,1,67,5.000,10,-117.214,32.804
1135294,1,67,3.000,14,-117.216,32.803
1135294,1,67,3.000,14,-117.214,32.804
1135294,1,67,5.000,17,-117.078,32.782
1135294,2,56,6.000,3,-117.078,32.781
1135294,2,56,5.000,8,-117.111,32.764
1135294,2,56,5.000,17,-117.078,32.782
1138633,1,51,6.000,3,-117.271,33.056
1138633,1,51,5.000,8,-117.851,33.673
1138633,1,51,5.000,18,-117.270,33.056
1138633,1,51,5.000,20,-117.287,33.053
1138633,1,51,5.000,21,-117.271,33.055
1138633,2,47,6.000,3,-117.270,33.055
1138633,2,47,5.000,8,-117.260,33.053
1138633,2,47,5.000,9,-117.286,33.050
1138633,2,47,5.000,9,-117.262,33.065
1138633,2,47,5.000,10,-117.264,33.063
1138633,2,47,5.000,11,-117.288,33.077
1138633,2,47,5.000,12,-117.271,33.055
1138633,2,47,3.000,16,-117.272,33.056
1138633,3,9,6.000,3,-117.271,33.056
1138633,3,9,5.000,8,-117.261,33.053
1138633,3,9,5.000,9,-117.287,33.050
1138633,3,9,5.000,9,-117.261,33.066
1138633,3,9,5.000,10,-117.265,33.064
1138633,3,9,5.000,11,-117.288,33.077
1138633,3,9,5.000,12,-117.271,33.056
1138633,3,9,3.000,15,-117.271,33.056
1138633,3,9,3.000,16,-117.271,33.055
1138633,4,7,6.000,3,-117.271,33.056
1138633,4,7,5.000,8,-117.261,33.052
1138633,4,7,5.000,9,-117.287,33.050
1138633,4,7,5.000,9,-117.261,33.065
1138633,4,7,5.000,10,-117.264,33.064
1138633,4,7,5.000,11,-117.288,33.077
1138633,4,7,5.000,12,-117.271,33.055
1138633,4,7,3.000,15,-117.271,33.057
1138633,4,7,3.000,16,-117.270,33.055
1138798,1,62,6.000,3,-117.222,32.956
1138798,1,62,4.000,11,-117.259,32.996
1138798,1,62,4.000,11,-117.331,33.135
1138798,1,62,4.000,14,-117.221,32.955
1138798,2,55,6.000,3,-117.222,32.956
1142269,1,50,6.000,3,-117.002,32.759
1142269,1,50,1.000,15,-121.539,38.655
1142269,1,50,5.000,16,-121.587,38.693
1142269,1,50,1.000,21,-117.002,32.760
1142269,2,54,6.000,3,-117.002,32.759
1142269,2,54,5.000,14,-117.225,32.879
1142269,2,54,5.000,15,-117.002,32.759
1157192,2,56,6.000,3,-117.141,32.808
1157192,2,56,5.000,7,-117.130,32.834
1157192,2,56,5.000,16,-117.141,32.808
1157192,3,18,6.000,3,-117.141,32.808
1157192,3,18,5.000,10,-117.168,32.807
1157192,3,18,5.000,12,-117.159,32.753
1157192,3,18,5.000,16,-117.140,32.805
1157192,3,18,5.000,16,-117.141,32.808
1157192,4,22,6.000,3,-117.141,32.808
1157192,4,22,5.000,8,-117.235,32.876
1157192,4,22,5.000,18,-117.141,32.808
1172087,1,50,6.000,3,-117.272,33.003
1172087,1,50,5.000,9,-117.217,32.876
1172087,1,50,5.000,10,-117.217,32.810
1172087,1,50,5.000,11,-117.224,32.822
1172087,1,50,5.000,12,-117.261,32.997
1172087,1,50,5.000,12,-117.273,33.003
1297319,1,58,6.000,3,-117.265,33.272
1297319,1,58,5.000,8,-117.329,33.183
1297319,1,58,5.000,9,-117.304,33.206
1297319,1,58,5.000,10,-117.381,33.197
1297319,1,58,5.000,10,-117.671,33.485
1297319,1,58,5.000,12,-117.611,33.427
1297319,1,58,5.000,13,-117.380,33.197
1297319,1,58,5.000,14,-117.378,33.195
1297319,1,58,5.000,14,-117.266,33.272
1297319,1,58,5.000,18,-117.381,33.197
1297319,1,58,5.000,20,-117.265,33.272
1297319,2,68,6.000,3,-117.265,33.272
1297319,2,68,5.000,13,-117.295,33.211
1297319,2,68,5.000,14,-117.312,33.210
1297319,2,68,5.000,16,-117.294,33.242
1297319,2,68,5.000,17,-117.265,33.272
1298810,1,47,6.000,3,-117.250,32.792
1298810,1,47,5.000,8,-117.249,32.783
1298810,1,47,5.000,11,-117.250,32.793
1298810,1,47,5.000,17,-117.015,32.812
1298810,1,47,5.000,20,-117.249,32.793
1298810,2,47,6.000,3,-117.249,32.793
1298810,2,47,5.000,11,-117.051,32.755
1298810,2,47,5.000,16,-117.249,32.793
1298810,2,47,5.000,17,-117.016,32.812
1298810,2,47,5.000,20,-117.249,32.793
1298810,3,8,6.000,3,-117.249,32.793
1298810,3,8,5.000,11,-117.051,32.755
1298810,3,8,5.000,16,-117.249,32.793
1298810,3,8,5.000,17,-117.015,32.812
1298810,3,8,5.000,20,-117.250,32.793
1341037,1,34,6.000,3,-117.159,32.927
1341037,1,34,5.000,8,-117.211,32.887
1341037,1,34,5.000,17,-117.159,32.927
1341037,2,35,6.000,3,-117.159,32.927
1341037,2,35,5.000,8,-117.211,32.888
1341037,2,35,5.000,17,-117.159,32.927
1341037,3,3,6.000,3,-117.159,32.927
1341037,4,1,6.000,3,-117.159,32.927
1347870,1,58,6.000,3,-116.998,32.779
1347870,1,58,5.000,11,-117.045,32.797
1347870,1,58,5.000,12,-117.009,32.780
1347870,1,58,5.000,13,-116.998,32.778
1347870,2,58,6.000,3,-116.977,32.472
1347870,2,58,1.000,14,-99.132,19.433
1348449,1,57,6.000,3,-117.109,33.105
1348449,1,57,5.000,10,-117.124,33.137
1348449,1,57,5.000,11,-117.103,33.112
1348449,1,57,5.000,11,-117.110,33.106
1348449,1,57,3.000,19,-117.104,33.112
1348449,1,57,5.000,20,-117.110,33.105
1348449,2,58,6.000,3,-117.110,33.106
1348449,2,58,5.000,10,-117.124,33.136
1348449,2,58,5.000,11,-117.103,33.112
1348449,2,58,5.000,11,-117.109,33.106
1348449,2,58,3.000,19,-117.103,33.112
1348449,2,58,5.000,20,-117.109,33.106
1348449,3,28,6.000,3,-117.109,33.106
1348449,3,28,5.000,8,-117.222,32.889
1348449,3,28,5.000,19,-117.231,32.955
1348449,3,28,5.000,19,-117.225,32.961
1348449,3,28,5.000,21,-117.110,33.106
1348449,4,25,6.000,3,-117.109,33.106
1348449,4,25,5.000,8,-117.066,33.069
1348449,4,25,5.000,12,-117.110,33.106
1348449,4,25,5.000,13,-117.067,33.069
1348449,4,25,5.000,20,-117.104,33.112
1348449,4,25,5.000,20,-117.109,33.106
1355862,1,47,6.000,3,-117.242,33.077
1355862,1,47,5.000,7,-117.291,33.038
1355862,1,47,5.000,9,-117.242,33.076
1355862,1,47,5.000,10,-117.203,33.021
1355862,1,47,5.000,10,-117.219,33.045
1355862,1,47,5.000,11,-117.211,33.045
